DOI,SR_ID,Date_Created,DOI
10.1002/14651858.CD004773.pub3.,30156270,30/08/2018,10.1002/14651858.CD004773.pub3
10.1002/14651858.CD010747.pub2.,30155883,30/08/2018,10.1002/14651858.CD010747.pub2
10.1002/14651858.CD012498.pub2.,30153336,29/08/2018,10.1002/14651858.CD012498.pub2
10.1002/14651858.CD011940.pub2.,30152137,29/08/2018,10.1002/14651858.CD011940.pub2
10.1002/14651858.CD012768.pub2.,30148542,28/08/2018,10.1002/14651858.CD012768.pub2
10.1002/14651858.CD012464.pub2.,30141832,25/08/2018,10.1002/14651858.CD012464.pub2
10.1002/14651858.CD012355.pub2.,30141826,25/08/2018,10.1002/14651858.CD012355.pub2
10.1002/14651858.CD000280.pub2.,30138549,24/08/2018,10.1002/14651858.CD000280.pub2
10.1002/14651858.CD012118.pub2.,30136733,24/08/2018,10.1002/14651858.CD012118.pub2
10.1002/14651858.CD010791.pub2.,30136718,24/08/2018,10.1002/14651858.CD010791.pub2
10.1002/14651858.CD012047.pub2.,30136717,24/08/2018,10.1002/14651858.CD012047.pub2
10.1002/14651858.CD001955.pub4.,30133690,23/08/2018,10.1002/14651858.CD001955.pub4
10.1002/14651858.CD006023.pub3.,30132304,23/08/2018,10.1002/14651858.CD006023.pub3
10.1002/14651858.CD012317.pub2.,30129968,22/08/2018,10.1002/14651858.CD012317.pub2
10.1002/14651858.CD010995.pub2.,30129656,22/08/2018,10.1002/14651858.CD010995.pub2
10.1002/14651858.CD012274.pub2.,30125998,21/08/2018,10.1002/14651858.CD012274.pub2
10.1002/14651858.CD011199.pub3.,30125338,21/08/2018,10.1002/14651858.CD011199.pub3
10.1002/14651858.CD012086.pub2.,30125049,21/08/2018,10.1002/14651858.CD012086.pub2
10.1002/14651858.CD007260.pub4.,30125048,21/08/2018,10.1002/14651858.CD007260.pub4
10.1002/14651858.CD011729.pub2.,30124233,21/08/2018,10.1002/14651858.CD011729.pub2
10.1002/14651858.CD012753.pub2.,30123976,21/08/2018,10.1002/14651858.CD012753.pub2
10.1002/14651858.CD013105.,30121957,20/08/2018,10.1002/14651858.CD013105
10.1002/14651858.CD013108.,30121956,20/08/2018,10.1002/14651858.CD013108
10.1002/14651858.CD008237.pub3.,30117156,18/08/2018,10.1002/14651858.CD008237.pub3
10.1002/14651858.CD010537.pub5.,30117155,18/08/2018,10.1002/14651858.CD010537.pub5
10.1002/14651858.CD011784.pub3.,30113083,17/08/2018,10.1002/14651858.CD011784.pub3
10.1002/14651858.CD012489.pub2.,30110718,16/08/2018,10.1002/14651858.CD012489.pub2
10.1002/14651858.CD003085.pub3.,30110521,16/08/2018,10.1002/14651858.CD003085.pub3
10.1002/14651858.CD012233.pub2.,30109701,16/08/2018,10.1002/14651858.CD012233.pub2
10.1002/14651858.CD012791.pub2.,30106471,15/08/2018,10.1002/14651858.CD012791.pub2
10.1002/14651858.CD005290.pub2.,30105749,15/08/2018,10.1002/14651858.CD005290.pub2
10.1002/14651858.CD012327.pub2.,30103263,14/08/2018,10.1002/14651858.CD012327.pub2
10.1002/14651858.CD012370.pub2.,30102428,14/08/2018,10.1002/14651858.CD012370.pub2
10.1002/14651858.CD002928.pub4.,30101972,14/08/2018,10.1002/14651858.CD002928.pub4
10.1002/14651858.CD005984.pub3.,30098021,12/08/2018,10.1002/14651858.CD005984.pub3
10.1002/14651858.CD008019.pub3.,30096215,11/08/2018,10.1002/14651858.CD008019.pub3
10.1002/14651858.CD010403.pub3.,30095853,11/08/2018,10.1002/14651858.CD010403.pub3
10.1002/14651858.CD002784.pub3.,30095170,11/08/2018,10.1002/14651858.CD002784.pub3
10.1002/14651858.CD012812.pub2.,30095168,11/08/2018,10.1002/14651858.CD012812.pub2
10.1002/14651858.CD007813.pub3.,30091808,10/08/2018,10.1002/14651858.CD007813.pub3
10.1002/14651858.CD001769.pub4.,30091458,10/08/2018,10.1002/14651858.CD001769.pub4
10.1002/14651858.CD010720.pub3.,30091147,10/08/2018,10.1002/14651858.CD010720.pub3
10.1002/14651858.CD006751.pub5.,30091146,10/08/2018,10.1002/14651858.CD006751.pub5
10.1002/14651858.CD005943.pub5.,30081430,7/08/2018,10.1002/14651858.CD005943.pub5
10.1002/14651858.CD005461.pub5.,30080256,7/08/2018,10.1002/14651858.CD005461.pub5
10.1002/14651858.CD011960.pub2.,30080246,7/08/2018,10.1002/14651858.CD011960.pub2
10.1002/14651858.CD012708.pub2.,30080242,7/08/2018,10.1002/14651858.CD012708.pub2
10.1002/14651858.CD006614.pub3.,30075059,4/08/2018,10.1002/14651858.CD006614.pub3
10.1002/14651858.CD012798.pub2.,30075058,4/08/2018,10.1002/14651858.CD012798.pub2
10.1002/14651858.CD000567.pub7.,30073665,4/08/2018,10.1002/14651858.CD000567.pub7
10.1002/14651858.CD011717.pub2.,30073663,4/08/2018,10.1002/14651858.CD011717.pub2
10.1002/14651858.CD006097.pub3.,30068022,2/08/2018,10.1002/14651858.CD006097.pub3
10.1002/14651858.CD012082.pub2.,30067867,2/08/2018,10.1002/14651858.CD012082.pub2
10.1002/14651858.CD007859.pub4.,30064155,1/08/2018,10.1002/14651858.CD007859.pub4
10.1002/14651858.CD003832.pub3.,30063798,1/08/2018,10.1002/14651858.CD003832.pub3
10.1002/14651858.CD004822.pub3.,30062732,1/08/2018,10.1002/14651858.CD004822.pub3
10.1002/14651858.CD008462.pub3.,30058070,31/07/2018,10.1002/14651858.CD008462.pub3
10.1002/14651858.CD011581.pub3.,30052271,28/07/2018,10.1002/14651858.CD011581.pub3
10.1002/14651858.CD012543.pub2.,30051462,28/07/2018,10.1002/14651858.CD012543.pub2
10.1002/14651858.CD005647.pub3.,30045416,26/07/2018,10.1002/14651858.CD005647.pub3
10.1002/14651858.CD012171.pub2.,30043448,26/07/2018,10.1002/14651858.CD012171.pub2
10.1002/14651858.CD004326.pub3.,30040120,25/07/2018,10.1002/14651858.CD004326.pub3
10.1002/14651858.CD012507.pub2.,30040119,25/07/2018,10.1002/14651858.CD012507.pub2
10.1002/14651858.CD010564.pub2.,30039871,25/07/2018,10.1002/14651858.CD010564.pub2
10.1002/14651858.CD003751.pub4.,30039853,25/07/2018,10.1002/14651858.CD003751.pub4
10.1002/14651858.CD009012.pub3.,30039850,25/07/2018,10.1002/14651858.CD009012.pub3
10.1002/14651858.CD012838.pub2.,30036453,24/07/2018,10.1002/14651858.CD012838.pub2
10.1002/14651858.CD012221.pub2.,30035305,24/07/2018,10.1002/14651858.CD012221.pub2
10.1002/14651858.CD003477.pub4.,30033623,24/07/2018,10.1002/14651858.CD003477.pub4
10.1002/14651858.CD009650.pub4.,30030966,22/07/2018,10.1002/14651858.CD009650.pub4
10.1002/14651858.CD008905.pub3.,30027652,22/07/2018,10.1002/14651858.CD008905.pub3
10.1002/14651858.CD010315.pub3.,30027631,22/07/2018,10.1002/14651858.CD010315.pub3
10.1002/14651858.CD006732.pub4.,30025154,20/07/2018,10.1002/14651858.CD006732.pub4
10.1002/14651858.CD011597.pub2.,30024634,20/07/2018,10.1002/14651858.CD011597.pub2
10.1002/14651858.CD007858.pub2.,30024023,20/07/2018,10.1002/14651858.CD007858.pub2
10.1002/14651858.CD011542.pub2.,30021248,19/07/2018,10.1002/14651858.CD011542.pub2
10.1002/14651858.CD012345.pub2.,30019767,19/07/2018,10.1002/14651858.CD012345.pub2
10.1002/14651858.CD003177.pub3.,30019766,19/07/2018,10.1002/14651858.CD003177.pub3
10.1002/14651858.CD011094.pub3.,30019765,19/07/2018,10.1002/14651858.CD011094.pub3
10.1002/14651858.CD012034.pub2.,30019748,19/07/2018,10.1002/14651858.CD012034.pub2
10.1002/14651858.CD012584.pub2.,30019463,19/07/2018,10.1002/14651858.CD012584.pub2
10.1002/14651858.CD007892.pub6.,30016540,18/07/2018,10.1002/14651858.CD007892.pub6
10.1002/14651858.CD001271.pub3.,30011347,17/07/2018,10.1002/14651858.CD001271.pub3
10.1002/14651858.CD012534.pub2.,30004572,14/07/2018,10.1002/14651858.CD012534.pub2
10.1002/14651858.CD007987.pub3.,30004571,14/07/2018,10.1002/14651858.CD007987.pub3
10.1002/14651858.CD012556.pub2.,30001476,13/07/2018,10.1002/14651858.CD012556.pub2
10.1002/14651858.CD011626.pub2.,29998494,13/07/2018,10.1002/14651858.CD011626.pub2
10.1002/14651858.CD009258.pub3.,29995989,12/07/2018,10.1002/14651858.CD009258.pub3
10.1002/14651858.CD008449.pub3.,29993119,12/07/2018,10.1002/14651858.CD008449.pub3
10.1002/14651858.CD009447.pub3.,29993117,12/07/2018,10.1002/14651858.CD009447.pub3
10.1002/14651858.CD006487.pub2.,29990391,11/07/2018,10.1002/14651858.CD006487.pub2
10.1002/14651858.CD011492.pub2.,29987845,11/07/2018,10.1002/14651858.CD011492.pub2
10.1002/14651858.CD001861.pub4.,29985545,10/07/2018,10.1002/14651858.CD001861.pub4
10.1002/14651858.CD011151.pub3.,29985541,10/07/2018,10.1002/14651858.CD011151.pub3
10.1002/14651858.CD012294.pub2.,29981164,8/07/2018,10.1002/14651858.CD012294.pub2
10.1002/14651858.CD011849.pub2.,29975811,6/07/2018,10.1002/14651858.CD011849.pub2
10.1002/14651858.CD010221.pub3.,29975802,6/07/2018,10.1002/14651858.CD010221.pub3
10.1002/14651858.CD010885.pub4.,29975402,6/07/2018,10.1002/14651858.CD010885.pub4
10.1002/14651858.CD012960.pub2.,29974953,6/07/2018,10.1002/14651858.CD012960.pub2
10.1002/14651858.CD012503.pub2.,29974450,6/07/2018,10.1002/14651858.CD012503.pub2
10.1002/14651858.CD009770.pub2.,29971813,5/07/2018,10.1002/14651858.CD009770.pub2
10.1002/14651858.CD012522.pub2.,29969521,4/07/2018,10.1002/14651858.CD012522.pub2
10.1002/14651858.CD012293.pub2.,29963686,3/07/2018,10.1002/14651858.CD012293.pub2
10.1002/14651858.CD009567.pub2.,29959871,1/07/2018,10.1002/14651858.CD009567.pub2
10.1002/14651858.CD002922.pub4.,29957821,30/06/2018,10.1002/14651858.CD002922.pub4
10.1002/14651858.CD010965.pub2.,29953167,29/06/2018,10.1002/14651858.CD010965.pub2
10.1002/14651858.CD001031.pub4.,29952431,29/06/2018,10.1002/14651858.CD001031.pub4
10.1002/14651858.CD012721.pub2.,29952095,29/06/2018,10.1002/14651858.CD012721.pub2
10.1002/14651858.CD012494.pub2.,29952000,29/06/2018,10.1002/14651858.CD012494.pub2
10.1002/14651858.CD007990.pub3.,29944175,27/06/2018,10.1002/14651858.CD007990.pub3
10.1002/14651858.CD002733.pub3.,29943802,27/06/2018,10.1002/14651858.CD002733.pub3
10.1002/14651858.CD012097.pub2.,29940078,26/06/2018,10.1002/14651858.CD012097.pub2
10.1002/14651858.CD012141.pub2.,29940073,26/06/2018,10.1002/14651858.CD012141.pub2
10.1002/14651858.CD011616.pub2.,29939406,26/06/2018,10.1002/14651858.CD011616.pub2
10.1002/14651858.CD012404.pub2.,29938790,26/06/2018,10.1002/14651858.CD012404.pub2
10.1002/14651858.CD002741.pub2.,29938789,26/06/2018,10.1002/14651858.CD002741.pub2
10.1002/14651858.CD009621.pub3.,29934987,24/06/2018,10.1002/14651858.CD009621.pub3
10.1002/14651858.CD012675.pub2.,29932455,23/06/2018,10.1002/14651858.CD012675.pub2
10.1002/14651858.CD012597.pub2.,29932206,23/06/2018,10.1002/14651858.CD012597.pub2
10.1002/14651858.CD000433.pub2.,29931679,23/06/2018,10.1002/14651858.CD000433.pub2
10.1002/14651858.CD007522.pub2.,29929212,22/06/2018,10.1002/14651858.CD007522.pub2
10.1002/14651858.CD010583.pub4.,29928755,22/06/2018,10.1002/14651858.CD010583.pub4
10.1002/14651858.CD007105.pub4.,29926477,22/06/2018,10.1002/14651858.CD007105.pub4
10.1002/14651858.CD002971.pub4.,29926476,22/06/2018,10.1002/14651858.CD002971.pub4
10.1002/14651858.CD010912.pub4.,29926475,22/06/2018,10.1002/14651858.CD010912.pub4
10.1002/14651858.CD012409.pub2.,29926474,22/06/2018,10.1002/14651858.CD012409.pub2
10.1002/14651858.CD000341.pub2.,29924388,21/06/2018,10.1002/14651858.CD000341.pub2
10.1002/14651858.CD006650.pub5.,29920657,20/06/2018,10.1002/14651858.CD006650.pub5
10.1002/14651858.CD001190.pub3.,29923184,21/06/2018,10.1002/14651858.CD001190.pub3
10.1002/14651858.CD009421.pub4.,29921013,20/06/2018,10.1002/14651858.CD009421.pub4
10.1002/14651858.CD005594.pub3.,29920656,20/06/2018,10.1002/14651858.CD005594.pub3
10.1002/14651858.CD012583.pub2.,29906322,16/06/2018,10.1002/14651858.CD012583.pub2
10.1002/14651858.CD008981.pub3.,29900526,15/06/2018,10.1002/14651858.CD008981.pub3
10.1002/14651858.CD012270.pub2.,29897635,14/06/2018,10.1002/14651858.CD012270.pub2
10.1002/14651858.CD011664.pub3.,29897100,14/06/2018,10.1002/14651858.CD011664.pub3
10.1002/14651858.CD012619.pub2.,29894558,13/06/2018,10.1002/14651858.CD012619.pub2
10.1002/14651858.CD006352.pub3.,29893410,13/06/2018,10.1002/14651858.CD006352.pub3
10.1002/14651858.CD011842.pub2.,29889978,12/06/2018,10.1002/14651858.CD011842.pub2
10.1002/14651858.CD012514.pub2.,29889304,12/06/2018,10.1002/14651858.CD012514.pub2
10.1002/14651858.CD012276.pub2.,29883514,9/06/2018,10.1002/14651858.CD012276.pub2
10.1002/14651858.CD004188.pub3.,29882960,9/06/2018,10.1002/14651858.CD004188.pub3
10.1002/14651858.CD005456.pub3.,29879293,8/06/2018,10.1002/14651858.CD005456.pub3
10.1002/14651858.CD007396.pub3.,29870574,6/06/2018,10.1002/14651858.CD007396.pub3
10.1002/14651858.CD006332.pub3.,29869799,6/06/2018,10.1002/14651858.CD006332.pub3
10.1002/14651858.CD012713.pub2.,29869797,6/06/2018,10.1002/14651858.CD012713.pub2
10.1002/14651858.CD007867.pub2.,29864793,5/06/2018,10.1002/14651858.CD007867.pub2
10.1002/14651858.CD009642.pub3.,29864216,5/06/2018,10.1002/14651858.CD009642.pub3
10.1002/14651858.CD008687.pub2.,29862492,5/06/2018,10.1002/14651858.CD008687.pub2
10.1002/14651858.CD009975.pub3.,29862490,5/06/2018,10.1002/14651858.CD009975.pub3
10.1002/14651858.CD012733.pub2.,29860722,4/06/2018,10.1002/14651858.CD012733.pub2
10.1002/14651858.CD012629.pub2.,29859017,3/06/2018,10.1002/14651858.CD012629.pub2
10.1002/14651858.CD010784.pub2.,29859007,3/06/2018,10.1002/14651858.CD010784.pub2
10.1002/14651858.CD006468.pub6.,29856471,2/06/2018,10.1002/14651858.CD006468.pub6
10.1002/14651858.CD003220.pub3.,29852056,1/06/2018,10.1002/14651858.CD003220.pub3
10.1002/14651858.CD000146.pub5.,29852054,1/06/2018,10.1002/14651858.CD000146.pub5
10.1002/14651858.CD011680.pub2.,29851032,1/06/2018,10.1002/14651858.CD011680.pub2
10.1002/14651858.CD001261.pub4.,29851031,1/06/2018,10.1002/14651858.CD001261.pub4
10.1002/14651858.CD011140.pub2.,29847689,31/05/2018,10.1002/14651858.CD011140.pub2
10.1002/14651858.CD012506.pub2.,29845610,31/05/2018,10.1002/14651858.CD012506.pub2
10.1002/14651858.CD006278.pub3.,29845607,31/05/2018,10.1002/14651858.CD006278.pub3
10.1002/14651858.CD005188.pub4.,29845606,31/05/2018,10.1002/14651858.CD005188.pub4
10.1002/14651858.CD005010.pub3.,29845595,31/05/2018,10.1002/14651858.CD005010.pub3
10.1002/14651858.CD010821.pub2.,29845600,31/05/2018,10.1002/14651858.CD010821.pub2
10.1002/14651858.CD011943.pub2.,29802811,29/05/2018,10.1002/14651858.CD011943.pub2
10.1002/14651858.CD011620.pub2.,29800486,26/05/2018,10.1002/14651858.CD011620.pub2
10.1002/14651858.CD011320.pub3.,29800485,26/05/2018,10.1002/14651858.CD011320.pub3
10.1002/14651858.CD010287.pub3.,29797697,26/05/2018,10.1002/14651858.CD010287.pub3
10.1002/14651858.CD006112.pub4.,29797578,26/05/2018,10.1002/14651858.CD006112.pub4
10.1002/14651858.CD007158.pub3.,29797347,26/05/2018,10.1002/14651858.CD007158.pub3
10.1002/14651858.CD007286.pub4.,29791030,24/05/2018,10.1002/14651858.CD007286.pub4
10.1002/14651858.CD006963.pub3.,29791019,24/05/2018,10.1002/14651858.CD006963.pub3
10.1002/14651858.CD006698.pub3.,29791009,24/05/2018,10.1002/14651858.CD006698.pub3
10.1002/14651858.CD011977.pub2.,29786830,23/05/2018,10.1002/14651858.CD011977.pub2
10.1002/14651858.CD001019.pub3.,29786828,23/05/2018,10.1002/14651858.CD001019.pub3
10.1002/14651858.CD000331.pub4.,29781504,22/05/2018,10.1002/14651858.CD000331.pub4
10.1002/14651858.CD011768.pub2.,29775501,19/05/2018,10.1002/14651858.CD011768.pub2
10.1002/14651858.CD008552.pub5.,29770960,18/05/2018,10.1002/14651858.CD008552.pub5
10.1002/14651858.CD011344.pub2.,29770432,18/05/2018,10.1002/14651858.CD011344.pub2
10.1002/14651858.CD000111.pub4.,29768662,17/05/2018,10.1002/14651858.CD000111.pub4
10.1002/14651858.CD000996.pub3.,29766487,17/05/2018,10.1002/14651858.CD000996.pub3
10.1002/14651858.CD008830.pub3.,29763969,16/05/2018,10.1002/14651858.CD008830.pub3
10.1002/14651858.CD012430.pub2.,29763510,16/05/2018,10.1002/14651858.CD012430.pub2
10.1002/14651858.CD002099.pub3.,29763508,16/05/2018,10.1002/14651858.CD002099.pub3
10.1002/14651858.CD012410.pub2.,29762873,16/05/2018,10.1002/14651858.CD012410.pub2
10.1002/14651858.CD011283.pub2.,29761891,16/05/2018,10.1002/14651858.CD011283.pub2
10.1002/14651858.CD008874.pub2.,29761867,16/05/2018,10.1002/14651858.CD008874.pub2
10.1002/14651858.CD004829.pub4.,29761478,16/05/2018,10.1002/14651858.CD004829.pub4
10.1002/14651858.CD010558.pub2.,29761488,16/05/2018,10.1002/14651858.CD010558.pub2
10.1002/14651858.CD010753.pub2.,29761479,16/05/2018,10.1002/14651858.CD010753.pub2
10.1002/14651858.CD008735.pub3.,29761473,16/05/2018,10.1002/14651858.CD008735.pub3
10.1002/14651858.CD012342.pub2.,29758592,15/05/2018,10.1002/14651858.CD012342.pub2
10.1002/14651858.CD012551.pub3.,29757454,15/05/2018,10.1002/14651858.CD012551.pub3
10.1002/14651858.CD012540.pub2.,29756637,15/05/2018,10.1002/14651858.CD012540.pub2
10.1002/14651858.CD011341.pub2.,29750825,12/05/2018,10.1002/14651858.CD011341.pub2
10.1002/14651858.CD011883.pub2.,29750432,12/05/2018,10.1002/14651858.CD011883.pub2
10.1002/14651858.CD011884.pub2.,29749607,12/05/2018,10.1002/14651858.CD011884.pub2
10.1002/14651858.CD009887.pub4.,29747241,11/05/2018,10.1002/14651858.CD009887.pub4
10.1002/14651858.CD012455.pub2.,29746721,11/05/2018,10.1002/14651858.CD012455.pub2
10.1002/14651858.CD012069.pub2.,29744873,11/05/2018,10.1002/14651858.CD012069.pub2
10.1002/14651858.CD009260.pub3.,29742275,10/05/2018,10.1002/14651858.CD009260.pub3
10.1002/14651858.CD010168.pub3.,29741752,10/05/2018,10.1002/14651858.CD010168.pub3
10.1002/14651858.CD012017.pub2.,29741289,10/05/2018,10.1002/14651858.CD012017.pub2
10.1002/14651858.CD004945.pub4.,29741208,10/05/2018,10.1002/14651858.CD004945.pub4
10.1002/14651858.CD009069.pub3.,29740819,10/05/2018,10.1002/14651858.CD009069.pub3
10.1002/14651858.CD012349.pub2.,29737522,9/05/2018,10.1002/14651858.CD012349.pub2
10.1002/14651858.CD010038.pub3.,29736980,8/05/2018,10.1002/14651858.CD010038.pub3
10.1002/14651858.CD011403.pub2.,29734473,8/05/2018,10.1002/14651858.CD011403.pub2
10.1002/14651858.CD009103.pub3.,29734470,8/05/2018,10.1002/14651858.CD009103.pub3
10.1002/14651858.CD013010.,29729027,8/05/2018,10.1002/14651858.CD013010
10.1002/14651858.CD012197.pub2.,29727467,5/05/2018,10.1002/14651858.CD012197.pub2
10.1002/14651858.CD010239.pub2.,29726010,5/05/2018,10.1002/14651858.CD010239.pub2
10.1002/14651858.CD012253.pub2.,29717488,3/05/2018,10.1002/14651858.CD012253.pub2
10.1002/14651858.CD011980.pub3.,29709077,1/05/2018,10.1002/14651858.CD011980.pub3
10.1002/14651858.CD012504.pub2.,29709055,1/05/2018,10.1002/14651858.CD012504.pub2
10.1002/14651858.CD004414.pub3.,29708265,1/05/2018,10.1002/14651858.CD004414.pub3
10.1002/14651858.CD004634.pub3.,29697138,27/04/2018,10.1002/14651858.CD004634.pub3
10.1002/14651858.CD009313.pub2.,29694684,26/04/2018,10.1002/14651858.CD009313.pub2
10.1002/14651858.CD007105.pub3.,29694674,26/04/2018,10.1002/14651858.CD007105.pub3
10.1002/14651858.CD011689.pub2.,29693726,26/04/2018,10.1002/14651858.CD011689.pub2
10.1002/14651858.CD011526.pub2.,29693719,26/04/2018,10.1002/14651858.CD011526.pub2
10.1002/14651858.CD011772.pub2.,29691835,25/04/2018,10.1002/14651858.CD011772.pub2
10.1002/14651858.CD008581.pub2.,29688573,25/04/2018,10.1002/14651858.CD008581.pub2
10.1002/14651858.CD008201.pub3.,29687454,25/04/2018,10.1002/14651858.CD008201.pub3
10.1002/14651858.CD010604.pub2.,29683475,24/04/2018,10.1002/14651858.CD010604.pub2
10.1002/14651858.CD011006.pub3.,29683474,24/04/2018,10.1002/14651858.CD011006.pub3
10.1002/14651858.CD010638.pub3.,29676439,21/04/2018,10.1002/14651858.CD010638.pub3
10.1002/14651858.CD011599.pub2.,29669176,19/04/2018,10.1002/14651858.CD011599.pub2
10.1002/14651858.CD004363.pub3.,29669175,19/04/2018,10.1002/14651858.CD004363.pub3
10.1002/14651858.CD006545.pub3.,29667726,19/04/2018,10.1002/14651858.CD006545.pub3
10.1002/14651858.CD001841.pub3.,29667175,19/04/2018,10.1002/14651858.CD001841.pub3
10.1002/14651858.CD012318.pub2.,29665617,18/04/2018,10.1002/14651858.CD012318.pub2
10.1002/14651858.CD005951.pub4.,29664991,18/04/2018,10.1002/14651858.CD005951.pub4
10.1002/14651858.CD010842.pub2.,29664187,18/04/2018,10.1002/14651858.CD010842.pub2
10.1002/14651858.CD003303.pub4.,29664159,18/04/2018,10.1002/14651858.CD003303.pub4
10.1002/14651858.CD000203.pub4.,29663328,18/04/2018,10.1002/14651858.CD000203.pub4
10.1002/14651858.CD009366.pub2.,29658630,17/04/2018,10.1002/14651858.CD009366.pub2
10.1002/14651858.CD000249.pub2.,29656433,16/04/2018,10.1002/14651858.CD000249.pub2
10.1002/14651858.CD008208.pub5.,29652088,14/04/2018,10.1002/14651858.CD008208.pub5
10.1002/14651858.CD010507.pub2.,29641848,12/04/2018,10.1002/14651858.CD010507.pub2
10.1002/14651858.CD005007.pub4.,29637538,11/04/2018,10.1002/14651858.CD005007.pub4
10.1002/14651858.CD009412.pub2.,29634083,11/04/2018,10.1002/14651858.CD009412.pub2
10.1002/14651858.CD009877.pub2.,29633784,11/04/2018,10.1002/14651858.CD009877.pub2
10.1002/14651858.CD007094.pub5.,29633783,11/04/2018,10.1002/14651858.CD007094.pub5
10.1002/14651858.CD007606.pub4.,29630730,10/04/2018,10.1002/14651858.CD007606.pub4
10.1002/14651858.CD005974.pub4.,29630715,10/04/2018,10.1002/14651858.CD005974.pub4
10.1002/14651858.CD002282.pub2.,29630138,10/04/2018,10.1002/14651858.CD002282.pub2
10.1002/14651858.CD005263.pub4.,29627967,9/04/2018,10.1002/14651858.CD005263.pub4
10.1002/14651858.CD004741.pub3.,29624209,7/04/2018,10.1002/14651858.CD004741.pub3
10.1002/14651858.CD011746.pub2.,29624208,7/04/2018,10.1002/14651858.CD011746.pub2
10.1002/14651858.CD010061.pub3.,29624206,7/04/2018,10.1002/14651858.CD010061.pub3
10.1002/14651858.CD008509.pub3.,29620795,6/04/2018,10.1002/14651858.CD008509.pub3
